date,close,volume,vix,rsi_14,beta,correlation_sp_vix
2023-09-11,4487.4599609375,3369920000,13.800000190734863,53.74497218328245,1.0,-0.788111478509572
2023-09-12,4461.89990234375,3435740000,14.229999542236328,49.72634880572763,1.0,-0.7971558540247715
2023-09-13,4467.43994140625,3529430000,13.479999542236328,50.58873364622053,1.0,-0.7924471059881877
2023-09-14,4505.10009765625,3648720000,12.819999694824219,56.10144084468227,1.0,-0.7708603795206231
2023-09-15,4450.31982421875,6932230000,13.789999961853027,47.75527429449002,1.0,-0.7940983435082926
2023-09-18,4453.52978515625,3161230000,14.0,48.24118624588102,1.0,-0.7921474209559608
2023-09-19,4443.9501953125,3614880000,14.109999656677246,46.84103966449695,1.0,-0.7781355027669787
2023-09-20,4402.2001953125,3308450000,15.140000343322754,41.225224519885785,1.0,-0.7905756238402474
2023-09-21,4330.0,3662340000,17.540000915527344,33.70051992750996,1.0,-0.833533127411857
2023-09-22,4320.06005859375,3349570000,17.200000762939453,32.81255341371954,1.0,-0.8281427884717378
2023-09-25,4337.43994140625,3195650000,16.899999618530273,35.98844777790826,1.0,-0.8500508814677031
2023-09-26,4273.52978515625,3472340000,18.940000534057617,30.31394195657961,1.0,-0.8729513135010807
2023-09-27,4274.509765625,3875880000,18.219999313354492,30.494914934941164,1.0,-0.8617287842844792
2023-09-28,4299.7001953125,3846230000,17.34000015258789,35.15653513802084,1.0,-0.8694103917777148
2023-09-29,4288.0498046875,3865960000,17.520000457763672,34.02009788476374,1.0,-0.8653262493575138
2023-10-02,4288.39013671875,3938660000,17.610000610351562,34.08712594732867,1.0,-0.8692537795971964
2023-10-03,4229.4501953125,3953830000,19.780000686645508,28.657448010825718,1.0,-0.8891189717770338
2023-10-04,4263.75,3777600000,18.579999923706055,35.13296385475007,1.0,-0.8970470295610273
2023-10-05,4258.18994140625,3581470000,18.489999771118164,34.584957765489335,1.0,-0.8945555430644492
2023-10-06,4308.5,3902030000,17.450000762939453,43.21588741299445,1.0,-0.889975718052586
2023-10-09,4335.66015625,3174630000,17.700000762939453,47.26137503928318,1.0,-0.872204520740609
2023-10-10,4358.240234375,3520240000,17.030000686645508,50.423628189111604,1.0,-0.871956625639098
2023-10-11,4376.9501953125,3601660000,16.09000015258789,52.94152432176194,1.0,-0.8891449027430975
2023-10-12,4349.60986328125,3713140000,16.690000534057617,49.02336763684859,1.0,-0.8881840918872819
2023-10-13,4327.77978515625,3566560000,19.31999969482422,46.09024283175788,1.0,-0.8455619264988143
2023-10-16,4373.6298828125,3409960000,17.209999084472656,52.51626125551953,1.0,-0.8596911355260226
2023-10-17,4373.2001953125,3794850000,17.8799991607666,52.45315921843128,1.0,-0.8564729355113908
2023-10-18,4314.60009765625,3686030000,19.219999313354492,44.58506908135148,1.0,-0.8597196235888274
2023-10-19,4278.0,3969730000,21.399999618530273,40.49895847564744,1.0,-0.8660885493788049
